#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/129/ccs	645
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/143/ccs	891
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/157/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/195/ccs	602
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/198/ccs	1636
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/199/ccs	1250
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/247/ccs	1235
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/265/ccs	937
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/271/ccs	884
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/279/ccs	409
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/297/ccs	803
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/352/ccs	1244
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/395/ccs	1124
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/399/ccs	635
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/418/ccs	1262
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/457/ccs	505
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/465/ccs	810
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/518/ccs	1332
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/549/ccs	567
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/653/ccs	518
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/681/ccs	439
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/707/ccs	1031
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/770/ccs	702
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/825/ccs	459
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/897/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1008/ccs	621
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1058/ccs	1005
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1071/ccs	475
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1100/ccs	517
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1106/ccs	487
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1114/ccs	1292
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1120/ccs	505
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1129/ccs	2342
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1133/ccs	455
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1200/ccs	701
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1201/ccs	637
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1255/ccs	769
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1302/ccs	1466
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1356/ccs	996
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1369/ccs	1163
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1495/ccs	1378
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1502/ccs	1394
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1511/ccs	901
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1545/ccs	686
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1558/ccs	1089
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1562/ccs	703
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1598/ccs	868
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1601/ccs	771
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1611/ccs	505
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1638/ccs	659
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1653/ccs	1179
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1658/ccs	891
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1667/ccs	767
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1689/ccs	395
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1704/ccs	1644
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1732/ccs	687
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1789/ccs	774
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1793/ccs	775
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1794/ccs	577
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1852/ccs	1321
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1882/ccs	509
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1901/ccs	1110
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1916/ccs	730
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/1945/ccs	769
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2052/ccs	884
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2216/ccs	748
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2250/ccs	635
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2279/ccs	1103
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2287/ccs	887
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2310/ccs	774
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2322/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2347/ccs	1365
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2349/ccs	559
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2353/ccs	789
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2372/ccs	642
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2374/ccs	629
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2376/ccs	799
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2524/ccs	657
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2555/ccs	1944
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2593/ccs	1060
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2599/ccs	760
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2665/ccs	597
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2693/ccs	559
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2704/ccs	1032
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2726/ccs	1644
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2739/ccs	958
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2752/ccs	659
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2792/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2802/ccs	712
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2880/ccs	426
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2920/ccs	803
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2933/ccs	738
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2947/ccs	504
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/2985/ccs	817
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3005/ccs	1815
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3020/ccs	1221
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3044/ccs	748
